Player, Team, Pts, Reb, Ast, Stl, Blk, eFG%, TS%, USG%, O-Rt, D-Rt, DRE/36, PER
Norman Powell, TOR, 3.58%, 3.38%, 3.04%, 5.22%, 2.54%, 50.20%, 54.10%, 17.90%, 107.4, 106.7, 0.65, 13.3, 
Anthony Morrow, OKC, 4.14%, 1.51%, 1.10%, 3.61%, 0.99%, 52.70%, 54.30%, 17.00%, 114.1, 111.5, -0.17, 10.7, 
Jerian Grant, NYK, 5.28%, 3.93%, 10.52%, 10.71%, 2.15%, 42.20%, 47.90%, 19.00%, 96.4, 108.4, -1.49, 11.2, 
Randy Foye, OKC, 5.10%, 4.00%, 8.47%, 6.12%, 5.93%, 42.80%, 46.10%, 15.80%, 95.2, 111.3, -3.08, 7.6, 
Iman Shumpert, CLE, 3.58%, 5.72%, 4.98%, 9.77%, 5.81%, 44.40%, 47.50%, 13.20%, 97.1, 104.4, -1.34, 8.5, 
Greivis Vasquez, MIL, 1.56%, 1.38%, 4.80%, 1.49%, 0.00%, , , , , , -4.05, , 
Xavier Munford, MEM, 1.17%, 1.12%, 1.82%, 2.51%, 1.64%, , , , , , -1.52, , 
Ronnie Price, PHO, 4.00%, 2.69%, 8.64%, 11.71%, 4.15%, 49.70%, 51.70%, 13.60%, 102.1, 107.8, 0.37, 9.5, 
Ty Lawson, IND, 4.35%, 3.29%, 13.31%, 7.10%, 1.64%, 44.40%, 47.60%, 15.00%, 99.1, 111.9, -1.70, 9.6, 
Tony Snell, CHI, 4.06%, 5.24%, 3.37%, 3.23%, 3.62%, 45.40%, 47.80%, 13.60%, 92.8, 108.5, -3.30, 6.4, 
Troy Daniels, CHA, 2.73%, 1.56%, 1.15%, 1.76%, 0.67%, , , , , , 0.81, , 
Cameron Payne, OKC, 3.03%, 2.04%, 5.71%, 5.65%, 1.19%, 47.50%, 49.00%, 20.20%, 104.7, 105.8, 0.20, 12.8, 
Sasha Vujacic, NYK, 3.67%, 4.10%, 4.99%, 7.28%, 1.07%, 47.70%, 50.30%, 16.70%, 101.2, 107.9, -0.65, 11, 
Jordan McRae, CLE, 1.16%, 0.55%, 1.28%, 0.52%, 0.31%, , , , , , -0.37, , 
Justin Holiday, CHI, 2.87%, 2.37%, 2.94%, 6.26%, 4.04%, 46.50%, 48.90%, 16.40%, 93.3, 107.3, -1.20, 9.2, 
Andre Roberson, OKC, 3.63%, 6.46%, 2.41%, 9.11%, 9.49%, 55.50%, 56.60%, 9.20%, 118.5, 106.3, -0.07, 10.2, 
Tyler Ennis, MIL, 2.54%, 2.19%, 5.07%, 3.73%, 0.21%, 48.40%, 51.00%, 17.40%, 98.4, 110.3, -1.04, 10.8, 
Marcelo Huertas, LAL, 3.01%, 2.59%, 12.52%, 4.42%, 2.11%, , , , , , -2.15, , 
C.J. Watson, ORL, 1.70%, 1.89%, 4.60%, 2.82%, 1.20%, 39.40%, 46.10%, 11.80%, 101.8, 110.1, -1.35, 8.3, 
Justin Anderson, DAL, 2.88%, 4.12%, 1.88%, 3.90%, 8.86%, 46.90%, 52.20%, 15.70%, 102.7, 104.1, 0.22, 12.2, 
Tyus Jones, MIN, 1.86%, 1.38%, 5.64%, 4.73%, 0.80%, 41.00%, 45.00%, 16.00%, 98.4, 112.9, -0.12, 11, 
Brandon Rush, GSW, 3.24%, 4.64%, 2.30%, 2.86%, 4.58%, 55.20%, 56.00%, 12.50%, 108.4, 106.5, -0.37, 10.1, 
Steve Blake, DET, 2.98%, 2.38%, 12.61%, 4.09%, 1.59%, 49.60%, 51.00%, 14.60%, 100.9, 108.3, -2.13, 9.8, 
John Jenkins, PHO, 2.15%, 1.55%, 2.06%, 1.27%, 0.32%, , , , , , -2.47, , 
